n,seed,m,minimum_cover,reachable_partition_states,codomain_states,state_fraction,enumeration_ms
6,7,4,3,4,16,0.25,0.16415200002484198
6,19,2,2,3,15,0.2,0.10669700009202643
6,31,5,3,4,16,0.25,0.4710540001724439
8,7,9,4,4,25,0.16,0.41574199985916493
8,19,4,3,4,24,0.16666666666666666,0.4468879999421915
8,31,9,4,4,25,0.16,0.6823040000654146
10,7,13,5,6,36,0.16666666666666666,1.867208000021492
10,19,5,3,3,35,0.08571428571428572,1.8100540000887122
10,31,12,5,5,36,0.1388888888888889,1.8120669999461825
12,7,17,6,4,49,0.08163265306122448,7.322208000005048
12,19,8,4,3,45,0.06666666666666667,7.490776000167898
12,31,15,6,6,49,0.12244897959183673,7.196182999905432
14,7,20,7,3,64,0.046875,30.504540000038105
14,19,16,6,2,63,0.031746031746031744,29.898818999981813
14,31,17,6,2,63,0.031746031746031744,30.086866000146983
16,7,23,6,1,77,0.012987012987012988,123.00321099996836
16,19,22,7,5,80,0.0625,128.55353999998442
16,31,22,7,5,80,0.0625,128.9065490000212
