family,n,m,ordered_bdd_nodes,cardinality_tsi_states,bdd_runtime_ms
cycle,6,6,16,4,0.20373999996081693
random_bipartite,6,1,4,6,0.06716899997627479
cycle,8,8,24,5,0.0876290000633162
random_bipartite,8,3,10,7,0.1325450000422279
cycle,10,10,32,6,0.3052189999834809
random_bipartite,10,6,26,7,0.47342700008812244
cycle,12,12,40,7,0.7965219999732653
random_bipartite,12,9,76,8,0.8761499998399813
cycle,14,14,48,8,1.752408999891486
random_bipartite,14,12,35,10,3.368347999867183
cycle,16,16,56,9,4.966650000142181
random_bipartite,16,19,173,9,5.492074999892793
cycle,18,18,64,10,11.79239700013568
random_bipartite,18,21,260,11,17.702896999935547
cycle,20,20,72,11,32.31162099996254
random_bipartite,20,25,258,12,46.456059000092864
