family,n,m,tau,image_states,codomain_states,full_assignment_log2,tsi_state_log2,runtime_ms
cycle,8,8,4,5,9,8,2.321928094887362,0.6453500000134227
cycle,12,12,6,7,13,12,2.807354922057604,0.3220039998268476
cycle,16,16,8,9,17,16,3.169925001442312,0.4206190001241339
cycle,24,24,12,13,25,24,3.700439718141092,0.9653710001202853
cycle,32,32,16,17,33,32,4.087462841250339,1.5178640001067834
cycle,48,48,24,25,49,48,4.643856189774724,3.431019999879936
cycle,64,64,32,33,65,64,5.044394119358453,5.896208999956798
cycle,96,96,48,49,97,96,5.614709844115208,12.48239299980014
cycle,128,128,64,65,129,128,6.022367813028454,21.982105000006413
cycle,192,192,96,97,193,192,6.599912842187128,47.69817500005047
cycle,256,256,128,129,257,256,7.011227255423254,85.6901250001556
