n,seed,p,m,tau,image_states,codomain_states,log2_assignment_to_image_ratio,runtime_ms
20,11,0.1,12,7,14,21,16.192645077942394,0.1796439998997812
20,29,0.1,11,7,14,21,16.192645077942394,0.14560399995389162
20,47,0.1,14,7,14,21,16.192645077942394,0.1977610002086294
20,83,0.1,14,6,15,21,16.09310940439148,0.1750380001794838
20,101,0.1,9,5,16,21,16.0,0.1141889999871637
40,11,0.1,37,15,26,41,35.29956028185891,0.37312900008146244
40,29,0.1,39,16,25,41,35.35614381022528,0.40322299992112676
40,47,0.1,41,18,23,41,35.476438043942984,0.7763730000078795
40,83,0.1,43,17,24,41,35.415037499278846,0.9683860000677669
40,101,0.1,52,17,24,41,35.415037499278846,1.5241630001128215
60,11,0.1,87,26,35,61,54.87071698305503,2.3029300000416697
60,29,0.1,87,28,33,61,54.95560588064155,2.2538479997820104
60,47,0.1,87,28,33,61,54.95560588064155,2.51730500008307
60,83,0.1,104,30,31,61,55.04580368961312,5.473466000012195
60,101,0.1,97,29,32,61,55.0,3.492430999813223
80,11,0.1,157,39,42,81,74.60768257722124,9.017262000043047
80,29,0.1,159,38,43,81,74.5737352452979,6.244261000119877
80,47,0.1,163,40,41,81,74.64244799538191,11.189339000111431
80,83,0.1,153,39,42,81,74.60768257722124,5.148877999999968
80,101,0.1,168,39,42,81,74.60768257722124,9.955692999938037
100,11,0.1,236,48,53,101,94.2720795454368,8.060323999870889
100,29,0.1,247,49,52,101,94.2995602818589,9.949384000037753
100,47,0.1,251,50,51,101,94.32757465802851,20.067206000021542
100,83,0.1,237,50,51,101,94.32757465802851,19.084580000026108
100,101,0.1,251,50,51,101,94.32757465802851,19.860241999822392
150,11,0.1,529,75,76,151,143.75207248655641,52.71864599990295
150,29,0.1,564,75,76,151,143.75207248655641,54.03734600008647
150,47,0.1,555,75,76,151,143.75207248655641,63.41853399999309
150,83,0.1,537,75,76,151,143.75207248655641,58.652317999985826
150,101,0.1,565,75,76,151,143.75207248655641,53.41244600003847
200,11,0.1,968,100,101,201,193.3417885172482,109.81272000003628
200,29,0.1,1023,100,101,201,193.3417885172482,114.68052500003978
200,47,0.1,989,100,101,201,193.3417885172482,112.06295200008753
200,83,0.1,993,100,101,201,193.3417885172482,116.05475800001841
200,101,0.1,974,100,101,201,193.3417885172482,111.39494799999738
300,11,0.1,2245,150,151,301,292.76159526067494,328.5351509998691
300,29,0.1,2239,150,151,301,292.76159526067494,329.61240600002384
300,47,0.1,2268,150,151,301,292.76159526067494,333.2143879999876
300,83,0.1,2196,150,151,301,292.76159526067494,327.6940429998376
300,101,0.1,2226,150,151,301,292.76159526067494,328.7077949999002
400,11,0.1,4000,200,201,401,392.3489483088211,745.1093180000044
400,29,0.1,3967,200,201,401,392.3489483088211,760.90373299985
400,47,0.1,3961,200,201,401,392.3489483088211,743.847149999965
400,83,0.1,3904,200,201,401,392.3489483088211,747.1248320000541
400,101,0.1,4033,200,201,401,392.3489483088211,762.2361279998131
